a_age,a_gender,a_race,v_age,v_gender,v_race
23,M,Black or African American,24,F,Black or African American
34,M,White,43,M,White
38,M,White,42,F,White
38,M,White,40,M,White
36,M,Black or African American,43,M,Black or African American
30,M,Black or African American,27,M,Black or African American
30,M,Black or African American,66,F,Black or African American
30,M,Black or African American,9,M,Black or African American
23,M,Black or African American,66,F,Black or African American
23,M,Black or African American,9,M,Black or African American
26,M,Black or African American,25,F,Black or African American
23,M,Black or African American,66,F,Black or African American
23,M,Black or African American,9,M,Black or African American
26,M,Black or African American,44,M,Black or African American
22,M,Black or African American,19,M,Black or African American
28,M,White,4,F,White
23,M,White,22,F,White
27,F,Black or African American,3,F,Black or African American
27,F,Black or African American,4,F,Black or African American
18,M,Black or African American,19,F,White
26,M,Black or African American,19,M,Black or African American
15,M,White,16,M,Black or African American
51,M,Black or African American,32,F,Black or African American
51,M,Black or African American,31,M,Black or African American
46,M,White,21,F,Black or African American
28,M,White,48,M,White
25,M,Black or African American,18,M,Black or African American
23,M,Black or African American,22,M,Black or African American
23,M,Black or African American,21,M,Black or African American
23,M,Black or African American,25,F,White
54,F,Black or African American,3,F,Black or African American
54,F,Black or African American,4,F,Black or African American
20,M,White,23,M,White
20,M,White,24,M,White
20,M,White,15,M,White
20,M,White,36,M,White
20,M,White,27,F,White
20,M,White,23,M,White
20,M,White,24,M,White
20,M,White,15,M,White
20,M,White,36,M,White
20,M,White,27,F,White
18,M,White,18,M,Black or African American
18,M,White,25,M,Black or African American
18,M,Black or African American,42,M,White
18,M,Black or African American,50,F,White
17,M,Black or African American,42,M,White
17,M,Black or African American,50,F,White
16,M,Black or African American,42,M,White
16,M,Black or African American,50,F,White
16,M,Black or African American,42,M,White
16,M,Black or African American,50,F,White
52,M,White,50,F,White
14,M,Black or African American,55,F,White
19,M,Black or African American,48,M,Black or African American
19,M,Black or African American,35,M,American Indian or Alaska Native
23,M,Black or African American,48,M,Black or African American
23,M,Black or African American,35,M,American Indian or Alaska Native
21,M,Black or African American,48,M,Black or African American
21,M,Black or African American,35,M,American Indian or Alaska Native
14,M,Black or African American,48,M,Black or African American
14,M,Black or African American,35,M,American Indian or Alaska Native
15,M,Black or African American,48,M,Black or African American
15,M,Black or African American,35,M,American Indian or Alaska Native
13,M,Black or African American,48,M,Black or African American
13,M,Black or African American,35,M,American Indian or Alaska Native
14,M,Black or African American,68,M,Black or African American
53,M,White,47,F,White
36,F,Black or African American,48,M,Black or African American
40,M,Black or African American,41,M,Black or African American
36,M,Black or African American,52,M,Asian
36,M,Black or African American,44,M,Black or African American
56,M,Black or African American,15,F,Black or African American
56,M,Black or African American,44,F,Black or African American
56,M,Black or African American,42,M,Black or African American
56,M,Black or African American,18,F,Black or African American
42,M,White,40,F,White
16,M,Black or African American,61,M,White
16,M,Black or African American,33,F,White
16,M,Black or African American,61,F,White
16,M,Black or African American,30,M,Black or African American
30,F,White,30,M,White
31,M,Black or African American,30,M,Black or African American
26,M,Black or African American,25,M,Black or African American
26,M,Black or African American,26,M,Black or African American
20,M,White,23,M,White
20,M,White,24,M,White
20,M,White,15,M,White
20,M,White,36,M,White
20,M,White,27,F,White
20,M,White,23,M,White
20,M,White,24,M,White
20,M,White,15,M,White
20,M,White,36,M,White
20,M,White,27,F,White
25,M,Black or African American,59,M,Black or African American
25,M,Black or African American,59,M,Black or African American
20,M,Black or African American,21,M,Black or African American
25,M,Black or African American,21,M,Black or African American
19,F,White,68,M,White
26,M,Black or African American,19,M,Black or African American
20,M,Black or African American,21,M,Black or African American
41,M,White,40,M,White
18,M,Black or African American,19,M,Black or African American
19,M,Black or African American,19,F,Black or African American
33,M,White,71,M,Black or African American
16,M,Black or African American,18,M,Black or African American
28,M,Black or African American,20,M,Black or African American
48,M,White,33,M,White
48,M,White,58,M,White
48,M,White,44,F,White
27,M,Black or African American,32,F,Black or African American
27,M,Black or African American,31,M,Black or African American
39,M,Black or African American,42,F,Black or African American
44,M,White,22,M,White
18,M,White,19,M,White
14,M,Black or African American,53,M,White
14,M,Black or African American,50,M,White
24,M,Black or African American,18,M,Black or African American
20,M,Black or African American,18,M,Black or African American
20,M,Black or African American,37,F,Black or African American
20,M,Black or African American,22,F,Black or African American
20,M,Black or African American,6,F,Black or African American
20,M,Black or African American,1,F,Black or African American
18,F,White,25,M,White
25,M,White,25,M,White
26,M,White,22,M,White
41,M,Black or African American,28,M,Black or African American
21,M,Black or African American,21,M,Black or African American
53,M,White,77,M,White
18,M,Black or African American,18,F,Black or African American
18,M,Black or African American,20,F,Black or African American
18,M,Black or African American,12,M,Black or African American
18,M,Black or African American,12,M,Black or African American
27,M,White,,M,White
19,M,White,30,M,Black or African American
19,M,White,32,M,White
19,M,White,46,F,White
19,M,White,32,M,White
19,M,White,42,M,White
19,M,White,29,M,White
41,M,Black or African American,49,F,Black or African American
41,M,Black or African American,62,M,Black or African American
27,F,White,28,M,White
29,M,Black or African American,26,F,Black or African American
32,M,White,28,M,White
20,M,Black or African American,40,M,White
27,M,Black or African American,40,M,White
18,M,Black or African American,53,M,Black or African American
18,M,Black or African American,21,F,Black or African American
18,M,Black or African American,26,F,Black or African American
18,M,Black or African American,3,M,Black or African American
18,M,Black or African American,6,F,Black or African American
18,M,Black or African American,10,U,Black or African American
18,M,Black or African American,6,U,Black or African American
32,M,White,,M,Black or African American
49,M,White,55,M,White
19,M,Black or African American,18,M,Black or African American
19,M,Black or African American,18,M,Black or African American
19,M,Black or African American,18,M,Black or African American
20,M,Black or African American,20,M,Black or African American
16,M,Black or African American,20,M,Black or African American
25,M,Black or African American,,F,Black or African American
25,M,Black or African American,22,F,Black or African American
25,M,Black or African American,1,M,Black or African American
44,M,White,30,M,White
31,M,Black or African American,30,M,Black or African American
30,M,White,28,M,White
18,M,White,20,M,White
