a_age,a_gender,a_race
16,M,Black or African American
52,M,White
14,M,Black or African American
19,M,Black or African American
19,M,Black or African American
23,M,Black or African American
23,M,Black or African American
21,M,Black or African American
21,M,Black or African American
14,M,Black or African American
14,M,Black or African American
15,M,Black or African American
15,M,Black or African American
13,M,Black or African American
13,M,Black or African American
14,M,Black or African American
53,M,White
36,F,Black or African American
40,M,Black or African American
36,M,Black or African American
36,M,Black or African American
56,M,Black or African American
56,M,Black or African American
56,M,Black or African American
56,M,Black or African American
42,M,White
16,M,Black or African American
16,M,Black or African American
16,M,Black or African American
16,M,Black or African American
30,F,White
31,M,Black or African American
26,M,Black or African American
26,M,Black or African American
20,M,White
20,M,White
20,M,White
20,M,White
20,M,White
20,M,White
20,M,White
20,M,White
20,M,White
20,M,White
25,M,Black or African American
25,M,Black or African American
20,M,Black or African American
25,M,Black or African American
19,F,White
26,M,Black or African American
20,M,Black or African American
41,M,White
18,M,Black or African American
19,M,Black or African American
33,M,White
16,M,Black or African American
28,M,Black or African American
48,M,White
48,M,White
48,M,White
27,M,Black or African American
27,M,Black or African American
39,M,Black or African American
44,M,White
18,M,White
14,M,Black or African American
14,M,Black or African American
24,M,Black or African American
20,M,Black or African American
20,M,Black or African American
20,M,Black or African American
20,M,Black or African American
20,M,Black or African American
18,F,White
25,M,White
26,M,White
41,M,Black or African American
21,M,Black or African American
53,M,White
18,M,Black or African American
18,M,Black or African American
18,M,Black or African American
18,M,Black or African American
27,M,White
19,M,White
19,M,White
19,M,White
19,M,White
19,M,White
19,M,White
41,M,Black or African American
41,M,Black or African American
27,F,White
29,M,Black or African American
32,M,White
20,M,Black or African American
27,M,Black or African American
18,M,Black or African American
18,M,Black or African American
18,M,Black or African American
18,M,Black or African American
18,M,Black or African American
18,M,Black or African American
18,M,Black or African American
32,M,White
49,M,White
19,M,Black or African American
19,M,Black or African American
19,M,Black or African American
20,M,Black or African American
16,M,Black or African American
25,M,Black or African American
25,M,Black or African American
25,M,Black or African American
44,M,White
31,M,Black or African American
30,M,White
18,M,White
